"Producer price index for agriculture, forestry and fishing (Previous year  = 100) by Items and Year"

"Items","2005","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"GENERAL INDEX",105.90,104.46,114.40,131.60,97.87,100.57,104.62,99.72,101.71,99.92,101.98,101.31,108.79,102.12,103.89,103.14
"Agricultural products and related services",105.50,104.47,114.30,133.50,95.49,99.41,103.85,100.48,102.03,97.55,101.23,101.18,112.64,102.44,102.44,103.50
"Annual crops products",..,106.85,116.80,126.80,92.44,101.34,103.32,99.24,103.09,101.73,103.32,99.75,104.35,104.37,103.85,105.74
"Perennial crops products",..,98.75,124.50,151.18,91.69,98.20,100.00,100.41,99.84,109.36,86.20,95.70,100.87,106.84,108.20,106.70
"Livestock products",..,100.20,102.00,140.80,98.37,97.62,108.48,102.59,102.08,82.69,110.42,107.94,141.79,96.33,95.64,98.64
"Agricultural services",..,115.81,111.40,117.23,133.62,113.76,103.44,103.12,100.88,101.00,102.14,101.83,101.51,101.31,103.68,103.83
"Forestry products and related services",104.90,114.85,110.30,113.56,112.25,108.85,108.28,104.31,102.94,104.55,103.69,102.83,99.81,100.55,103.98,101.35
"Afforestation and tending",104.10,108.69,108.90,115.13,100.89,103.79,103.08,100.74,102.44,100.91,102.23,104.96,100.91,100.51,101.51,101.76
"Logging",105.00,115.76,110.40,113.32,113.40,109.92,108.88,104.70,103.23,105.25,103.80,101.65,99.76,101.50,107.44,101.31
"Gathering",..,..,..,126.62,104.33,101.99,107.09,103.59,101.08,106.91,101.68,102.04,105.91,103.74,99.20,101.28
"Forestry services",..,..,..,111.18,111.05,104.23,106.57,102.47,100.08,100.91,106.07,119.61,95.47,99.75,101.41,100.76
"Aquatic products from exploitation and farming",108.30,102.53,115.00,126.33,106.13,103.66,106.64,96.61,100.45,106.89,104.15,101.56,98.71,101.33,108.43,102.19
"Catching",109.50,107.29,111.40,127.10,111.14,102.57,102.59,100.98,100.48,106.03,108.11,105.71,101.94,101.19,105.77,105.25
"Aquaculture",106.70,99.78,116.90,125.78,103.07,104.40,109.27,93.96,100.44,107.46,101.83,99.13,96.81,101.44,110.19,100.04
